station_name,metro_line,hour_of_day,day_of_week,month,is_weekend,is_holiday,temperature_c,is_raining,nearby_it_park,train_frequency_min,is_peak_hour,time_category,is_off_day,passenger_count,footfall_category,station_type,delay_minutes,wifi_available,date,fare_inr
Jalahalli,Green,7.0,Friday,December,No,No,27.8,No,,3.0,Yes,Morning,No,1426.0,Medium,Regular,2.0,No,2025-12-23,15.0
Trinity,Purple,17.0,Sunday,February,Yes,No,,No,No,3.0,Yes,Evening,Yes,2759.0,High,Regular,0.0,Yes,2025-02-09,
Majestic,,12.0,Monday,January,No,,25.2,No,No,5.0,No,Midday,No,2817.0,High,Interchange,2.0,,2025-01-26,25.0
Vijayanagar,Purple,15.0,Sunday,August,Yes,No,27.0,No,No,5.0,No,Evening,Yes,828.0,Medium,Regular,0.0,No,2023-08-27,30.0
JP Nagar 2nd Phase,Yellow,17.0,Monday,November,No,No,31.1,No,No,3.0,Yes,Evening,No,4086.0,High,Regular,0.0,No,2023-11-16,20.0
Hebbagodi,Yellow,20.0,Thursday,August,No,No,25.2,Yes,Yes,8.0,No,Night,No,729.0,Low,Regular,2.0,No,2023-08-22,20.0
,Green,9.0,Monday,June,No,No,28.2,No,No,3.0,Yes,Morning,No,2906.0,High,Regular,0.0,No,2024-06-14,15.0
Hebbagodi,Yellow,7.0,Monday,December,No,No,20.0,No,Yes,3.0,Yes,Morning,No,1579.0,Medium,Regular,2.0,No,2024-12-22,20.0
Sandal Soap Factory,Green,8.0,Monday,October,No,No,25.6,No,No,3.0,Yes,Morning,No,3743.0,High,Regular,10.0,No,2024-10-08,20.0
Baiyappanahalli,Purple,13.0,Monday,November,No,No,27.4,No,No,5.0,No,Midday,No,2029.0,High,Terminal,0.0,Yes,2025-11-27,10.0
Yelachenahalli,Green,11.0,Sunday,April,Yes,No,28.4,No,No,5.0,No,Midday,Yes,797.0,Low,Regular,0.0,No,2025-04-20,20.0
Majestic,Purple,7.0,Friday,September,No,No,30.4,,No,3.0,Yes,Morning,,2193.0,High,Interchange,10.0,Yes,2025-09-19,25.0
RV Road,Yellow,13.0,Wednesday,April,No,,,No,No,5.0,No,Midday,No,2041.0,High,Interchange,0.0,No,2024-04-14,30.0
Vijayanagar,Purple,22.0,Tuesday,September,No,No,24.6,No,No,8.0,No,Night,No,831.0,Medium,Regular,0.0,No,2024-09-07,30.0
Sandal Soap Factory,Green,15.0,Tuesday,August,No,No,28.0,No,No,5.0,No,Evening,No,1294.0,Medium,Regular,0.0,No,2023-08-05,20.0
RV Road,Yellow,14.0,Friday,October,No,No,29.3,No,No,5.0,No,Evening,No,,Medium,Interchange,2.0,No,2023-10-18,30.0
Peenya,Green,18.0,Sunday,,Yes,No,35.6,No,Yes,3.0,Yes,Evening,Yes,3612.0,High,Regular,2.0,No,2023-01-02,20.0
RV Road,Yellow,17.0,Saturday,August,Yes,No,27.5,No,No,3.0,Yes,Evening,Yes,2747.0,High,Interchange,2.0,No,2024-08-11,30.0
Halasuru,Purple,9.0,Monday,January,No,No,30.5,No,No,3.0,Yes,Morning,No,3772.0,High,Regular,5.0,Yes,2024-01-22,20.0
Lalbagh,,14.0,Wednesday,May,No,No,26.2,No,No,,No,Evening,No,1211.0,Medium,Regular,2.0,Yes,2025-05-08,25.0
Mysuru Road,Purple,17.0,Wednesday,October,No,No,27.3,No,No,3.0,Yes,Evening,No,4121.0,High,Regular,0.0,No,2023-10-01,40.0
Trinity,Purple,,Thursday,June,No,No,27.6,No,No,5.0,No,Midday,No,1111.0,Medium,Regular,0.0,Yes,2025-06-27,20.0
Majestic,Green,8.0,Monday,April,No,No,22.8,No,No,5.0,Yes,Morning,No,4835.0,High,Interchange,0.0,Yes,2024-04-22,25.0
Vijayanagar,,21.0,Thursday,February,No,No,29.8,No,No,,No,Night,No,904.0,Medium,Regular,2.0,No,2023-02-12,30.0
Vijayanagar,Purple,20.0,Tuesday,May,No,No,27.0,No,No,8.0,No,Night,No,867.0,Medium,Regular,0.0,No,2024-05-02,30.0
Sandal Soap Factory,Green,10.0,Thursday,August,No,No,,Yes,No,,No,Midday,No,898.0,Medium,Regular,0.0,No,2023-08-18,20.0
Vijayanagar,,15.0,Saturday,April,Yes,No,24.9,No,No,,No,Evening,Yes,895.0,Medium,Regular,2.0,No,2024-04-07,30.0
Gottigere,,6.0,Wednesday,November,No,No,23.2,No,No,8.0,No,Morning,No,1303.0,Medium,Regular,2.0,No,2024-11-26,20.0
Majestic,Purple,6.0,Sunday,December,Yes,No,21.3,,No,8.0,No,Morning,Yes,1414.0,Medium,Interchange,0.0,Yes,2023-12-17,25.0
RV Road,Yellow,14.0,Saturday,September,Yes,No,27.8,No,No,5.0,No,,Yes,686.0,Low,Interchange,2.0,No,2023-09-22,30.0
Chickpete,Green,20.0,Sunday,October,Yes,No,27.0,No,No,8.0,No,Night,Yes,624.0,Low,Regular,0.0,No,2024-10-23,20.0
Jalahalli,Green,7.0,Monday,June,No,No,22.6,,No,3.0,Yes,Morning,No,1672.0,Medium,Regular,5.0,No,2025-06-14,15.0
,Yellow,11.0,Saturday,January,Yes,No,28.4,No,No,5.0,No,Midday,Yes,1122.0,Medium,Regular,0.0,No,2024-01-24,20.0
Mysuru Road,Purple,12.0,Wednesday,November,No,No,25.6,No,No,5.0,No,Midday,No,2133.0,High,Regular,0.0,No,2025-11-07,40.0
Attiguppe,Purple,18.0,Tuesday,August,No,,28.2,Yes,No,3.0,Yes,Evening,No,3250.0,High,Regular,5.0,No,2024-08-22,40.0
Electronic City,Yellow,21.0,Sunday,February,Yes,No,27.5,No,Yes,8.0,No,Night,Yes,646.0,Low,Regular,0.0,No,2025-02-25,20.0
Baiyappanahalli,Purple,22.0,Thursday,August,No,,26.1,No,No,8.0,No,Night,No,779.0,Low,Terminal,0.0,Yes,2025-08-03,10.0
Jalahalli,Green,15.0,Sunday,January,Yes,No,27.3,No,No,5.0,No,Evening,Yes,764.0,Low,Regular,2.0,No,2024-01-27,15.0
JP Nagar 2nd Phase,Yellow,9.0,Friday,October,No,No,,No,,3.0,Yes,Morning,No,3782.0,High,Regular,5.0,No,2024-10-06,20.0
Chickpete,Green,11.0,Thursday,September,No,No,,No,No,5.0,No,,No,1252.0,Medium,Regular,0.0,No,2025-09-20,20.0
Hosahalli,Purple,13.0,Saturday,January,Yes,No,23.6,No,No,5.0,No,,Yes,1280.0,Medium,Regular,0.0,No,2024-01-02,20.0
,Yellow,13.0,Monday,August,No,No,28.7,No,Yes,,No,Midday,No,2119.0,High,Terminal,0.0,No,2024-08-17,50.0
Lalbagh,Green,16.0,Wednesday,November,No,No,30.7,No,No,5.0,No,Evening,No,1299.0,Medium,Regular,0.0,Yes,2023-11-12,25.0
Deepanjalinagar,Purple,,Tuesday,January,No,No,23.6,,No,5.0,No,Evening,No,1179.0,Medium,Regular,0.0,No,2025-01-12,20.0
Peenya,Green,11.0,Saturday,July,Yes,No,23.8,No,Yes,5.0,No,Midday,Yes,863.0,Medium,Regular,0.0,No,2025-07-17,20.0
Indiranagar,Purple,13.0,Sunday,April,Yes,No,25.5,,Yes,,No,Midday,Yes,,,Regular,5.0,Yes,2023-04-27,15.0
Majestic,Green,22.0,Sunday,March,Yes,No,30.1,No,No,8.0,No,Night,Yes,809.0,Medium,Interchange,0.0,Yes,2024-03-10,25.0
Gottigere,Yellow,14.0,Monday,September,No,,25.9,No,No,5.0,No,Evening,No,1130.0,Medium,Regular,0.0,No,2024-09-03,20.0
Banashankari,Yellow,15.0,Sunday,July,Yes,No,24.2,Yes,No,5.0,No,Evening,Yes,727.0,Low,Regular,0.0,Yes,2023-07-20,40.0
Baiyappanahalli,Purple,11.0,Monday,March,No,No,26.5,No,No,5.0,No,Midday,No,1150.0,Medium,Terminal,5.0,Yes,2025-03-18,10.0
Yeshwanthpur,Green,15.0,Saturday,November,Yes,No,34.9,No,Yes,5.0,No,Evening,Yes,774.0,Low,Regular,,Yes,2023-11-13,20.0
Majestic,Purple,16.0,Wednesday,April,No,No,28.0,No,No,5.0,No,Evening,No,1591.0,Medium,Interchange,0.0,Yes,2023-04-12,25.0
Bommasandra,Yellow,6.0,Tuesday,August,No,No,24.8,No,Yes,8.0,No,Morning,No,1364.0,Medium,Terminal,0.0,No,2024-08-27,50.0
Hosahalli,Purple,10.0,Wednesday,January,No,,26.6,No,No,,No,Midday,No,1229.0,Medium,Regular,0.0,No,,20.0
,Purple,11.0,Monday,April,No,No,25.6,No,Yes,5.0,No,Midday,No,1264.0,Medium,Regular,0.0,Yes,2023-04-27,15.0
JP Nagar 2nd Phase,Yellow,15.0,Friday,July,No,No,26.5,Yes,No,5.0,No,Evening,No,1067.0,Medium,Regular,2.0,No,2024-07-17,20.0
KR Market,Green,10.0,Saturday,March,Yes,No,31.0,,No,,No,Midday,Yes,757.0,Low,Regular,5.0,No,2024-03-04,20.0
Jayanagar 4th Block,Yellow,13.0,Saturday,May,Yes,No,23.9,No,No,5.0,No,Midday,Yes,1263.0,Medium,Regular,0.0,No,2023-05-23,20.0
Yeshwanthpur,Green,9.0,Wednesday,November,No,No,,No,Yes,3.0,Yes,Morning,No,5332.0,High,Regular,2.0,Yes,2023-11-10,20.0
Majestic,Purple,22.0,Wednesday,March,No,No,28.4,No,No,8.0,No,Night,No,1400.0,Medium,Interchange,5.0,Yes,2024-03-11,25.0
National College,Green,15.0,Sunday,March,Yes,No,27.3,No,No,5.0,No,Evening,Yes,875.0,Medium,Regular,2.0,No,2023-03-06,25.0
Trinity,Purple,12.0,Thursday,January,No,No,24.9,No,No,5.0,No,Midday,No,,Medium,Regular,0.0,Yes,2025-01-06,20.0
Jalahalli,Green,9.0,Friday,March,No,No,27.0,No,No,3.0,Yes,Morning,No,3635.0,High,Regular,2.0,No,2025-03-27,15.0
Nagasandra,Green,18.0,Friday,April,No,,31.1,No,No,3.0,Yes,Evening,No,3862.0,High,Terminal,2.0,No,2025-04-09,10.0
Yeshwanthpur,Green,10.0,Saturday,January,Yes,No,22.3,No,Yes,5.0,No,Midday,Yes,727.0,Low,Regular,0.0,Yes,2023-01-15,20.0
KR Market,Green,9.0,Saturday,October,Yes,No,29.8,No,No,3.0,Yes,Morning,Yes,2356.0,High,Regular,5.0,No,2025-10-02,20.0
Halasuru,Purple,21.0,Monday,July,No,No,32.3,No,No,8.0,No,Night,No,880.0,Medium,Regular,5.0,Yes,2024-07-04,20.0
JP Nagar 2nd Phase,Yellow,13.0,Wednesday,November,No,No,29.3,No,No,,No,Midday,No,1906.0,Medium,Regular,5.0,No,2024-11-05,20.0
KR Market,,22.0,Monday,August,No,No,28.7,No,No,8.0,No,Night,No,654.0,Low,Regular,0.0,No,2023-08-17,20.0
Sandal Soap Factory,Green,16.0,Friday,November,No,No,20.9,,No,5.0,No,Evening,No,1313.0,,Regular,0.0,No,2023-11-08,20.0
Deepanjalinagar,Purple,9.0,Thursday,July,,No,28.7,,No,3.0,Yes,Morning,No,3545.0,High,Regular,10.0,No,2024-07-08,
National College,,12.0,Sunday,March,Yes,No,21.4,No,No,5.0,No,Midday,Yes,1249.0,Medium,Regular,2.0,No,2024-03-22,25.0
National College,Green,8.0,Thursday,July,No,No,25.3,Yes,No,3.0,Yes,Morning,No,,High,Regular,0.0,No,2023-07-12,25.0
Tagore Nagar,Yellow,13.0,Monday,September,No,No,23.7,Yes,No,5.0,No,Midday,No,1355.0,Medium,Regular,5.0,No,2024-09-21,20.0
Halasuru,Purple,17.0,Thursday,June,No,No,24.9,No,No,3.0,Yes,Evening,No,4026.0,High,Regular,5.0,Yes,2023-06-08,20.0
South End Circle,Green,6.0,Saturday,March,Yes,No,32.3,No,No,8.0,No,Morning,Yes,920.0,Medium,Regular,0.0,No,2024-03-19,30.0
Halasuru,Purple,17.0,Friday,May,No,No,18.3,No,No,3.0,Yes,,No,4174.0,High,Regular,2.0,Yes,2024-05-03,20.0
Hebbagodi,Yellow,8.0,Tuesday,November,No,No,24.9,No,Yes,3.0,Yes,Morning,No,,,Regular,0.0,No,2025-11-18,20.0
Yeshwanthpur,Green,12.0,Friday,August,No,No,27.6,Yes,Yes,5.0,No,Midday,No,1554.0,Medium,Regular,0.0,Yes,2025-08-21,20.0
JP Nagar 2nd Phase,Yellow,12.0,Saturday,July,Yes,No,,No,No,5.0,No,Midday,Yes,1257.0,Medium,Regular,0.0,No,2024-07-19,20.0
Chickpete,Green,22.0,Wednesday,August,No,No,30.0,Yes,No,8.0,No,Night,No,651.0,,Regular,2.0,No,2024-08-19,20.0
Vijayanagar,Purple,13.0,Sunday,November,Yes,No,30.7,No,No,5.0,No,Midday,Yes,1310.0,Medium,Regular,0.0,No,2024-11-15,30.0
Halasuru,Purple,20.0,Friday,November,No,No,31.1,No,No,8.0,No,Night,No,937.0,Medium,Regular,0.0,Yes,2025-11-06,20.0
Electronic City,,10.0,Sunday,August,Yes,No,28.2,No,Yes,5.0,No,Midday,Yes,870.0,Medium,Regular,0.0,No,2024-08-16,20.0
Swami Vivekananda Road,Purple,20.0,Saturday,January,Yes,No,29.6,No,No,8.0,No,Night,Yes,613.0,Low,Regular,0.0,,2023-01-08,20.0
Majestic,Green,21.0,Wednesday,May,No,No,,,No,8.0,No,,No,1409.0,Medium,Interchange,5.0,Yes,2023-05-16,25.0
Whitefield,Purple,8.0,Saturday,May,Yes,No,22.7,No,Yes,3.0,Yes,Morning,Yes,,High,,0.0,No,2024-05-18,20.0
Indiranagar,Purple,21.0,Saturday,May,Yes,No,,No,No,8.0,No,Night,Yes,,,,0.0,Yes,2024-05-20,15.0
KR Market,Green,18.0,Saturday,July,Yes,No,22.8,No,No,3.0,Yes,Evening,Yes,2624.0,High,Regular,5.0,No,2025-07-16,20.0
Mysuru Road,Purple,10.0,Sunday,July,Yes,No,,Yes,No,5.0,No,Midday,Yes,,,Regular,0.0,No,2023-07-11,40.0
Nagasandra,Green,15.0,Wednesday,February,,No,27.9,No,No,5.0,No,Evening,No,1107.0,Medium,Terminal,0.0,No,2024-02-07,10.0
Whitefield,Purple,18.0,Saturday,December,Yes,No,34.5,No,Yes,3.0,Yes,Evening,Yes,3560.0,High,Regular,2.0,No,2025-12-17,20.0
Gottigere,Yellow,12.0,Monday,July,No,No,34.1,,,5.0,No,Midday,No,1938.0,Medium,Regular,0.0,No,2025-07-17,20.0
Kengeri,Purple,19.0,Tuesday,March,No,No,28.8,No,No,3.0,Yes,Evening,No,4270.0,High,Terminal,0.0,Yes,2024-03-12,50.0
Bommasandra,Yellow,20.0,Saturday,September,Yes,No,27.0,No,Yes,8.0,No,Night,,549.0,,Terminal,0.0,No,2024-09-13,50.0
Magadi Road,Purple,22.0,Tuesday,March,No,No,26.2,No,No,8.0,No,Night,No,834.0,Medium,Regular,0.0,No,2024-03-10,20.0
Halasuru,Purple,12.0,Tuesday,March,No,No,28.0,No,No,5.0,No,Midday,No,2009.0,High,Regular,5.0,Yes,2025-03-07,20.0
Electronic City,Yellow,21.0,Sunday,February,Yes,No,29.0,No,Yes,8.0,No,Night,Yes,654.0,Low,Regular,0.0,No,2023-02-14,20.0
Majestic,Green,17.0,Saturday,February,Yes,No,27.0,,No,3.0,Yes,Evening,Yes,3820.0,High,Interchange,2.0,Yes,2025-02-23,25.0
RV Road,Yellow,11.0,Tuesday,March,No,,21.4,No,No,5.0,No,Midday,No,1429.0,Medium,Interchange,0.0,No,2024-03-01,30.0
Vijayanagar,Purple,14.0,Sunday,,Yes,No,32.8,No,No,5.0,No,Evening,Yes,777.0,Low,Regular,0.0,No,2024-04-17,30.0
,Green,14.0,Monday,August,No,,28.0,Yes,Yes,5.0,No,Evening,No,910.0,Medium,,0.0,,2023-08-04,
,Green,11.0,Saturday,March,Yes,No,25.9,No,No,,No,Midday,Yes,,Medium,Regular,0.0,No,2024-03-21,15.0
Yelachenahalli,Green,10.0,Friday,February,No,No,24.9,No,No,5.0,No,Midday,No,1175.0,,Regular,5.0,No,2024-02-05,20.0
Kengeri,Purple,16.0,Friday,November,No,,30.9,No,No,5.0,No,Evening,No,1021.0,Medium,Terminal,0.0,Yes,2023-11-20,50.0
Halasuru,Purple,12.0,Saturday,September,Yes,No,,Yes,No,5.0,No,Midday,Yes,1031.0,Medium,Regular,0.0,Yes,2024-09-24,20.0
Jayanagar,Green,,Tuesday,October,No,No,29.0,No,No,3.0,Yes,Morning,No,1650.0,,Regular,0.0,No,2025-10-23,30.0
KR Market,Green,18.0,Friday,February,No,No,26.7,No,No,3.0,Yes,Evening,No,3882.0,High,Regular,10.0,No,2024-02-25,20.0
Dasarahalli,Green,8.0,Friday,August,No,No,29.7,No,No,3.0,Yes,Morning,No,3703.0,High,Regular,2.0,No,2025-08-07,10.0
RV Road,Yellow,22.0,Tuesday,September,No,No,30.7,Yes,No,8.0,No,Night,No,746.0,Low,Interchange,0.0,No,2023-09-10,30.0
National College,Green,,Sunday,February,Yes,No,29.8,No,No,,No,Midday,Yes,,Medium,Regular,0.0,No,2024-02-17,25.0
Gottigere,Yellow,17.0,Tuesday,July,No,No,27.3,No,No,3.0,Yes,Evening,No,4876.0,High,Regular,5.0,,2023-07-07,20.0
Whitefield,Purple,6.0,Thursday,September,No,No,26.0,Yes,Yes,8.0,No,Morning,No,1153.0,Medium,Regular,0.0,No,2024-09-01,20.0
Peenya,Green,9.0,Saturday,July,Yes,No,23.0,No,Yes,3.0,Yes,Morning,Yes,3166.0,High,Regular,5.0,No,2025-07-07,20.0
Swami Vivekananda Road,Purple,15.0,Sunday,August,Yes,No,32.0,Yes,No,,No,Evening,Yes,591.0,Low,Regular,0.0,No,2024-08-26,20.0
Nagasandra,Green,7.0,Sunday,January,Yes,No,27.0,No,No,3.0,Yes,Morning,,977.0,Medium,Terminal,0.0,No,2023-01-24,10.0
Electronic City,Yellow,21.0,Wednesday,December,No,No,35.1,No,Yes,8.0,No,Night,No,,Medium,Regular,0.0,No,2024-12-11,20.0
Banashankari,Yellow,16.0,Thursday,September,No,No,29.4,Yes,No,5.0,No,,No,945.0,Medium,Regular,0.0,Yes,2024-09-09,40.0
Trinity,Purple,18.0,Wednesday,March,No,No,25.7,No,No,3.0,Yes,Evening,No,4158.0,High,Regular,2.0,Yes,2024-03-12,20.0
RV Road,Yellow,14.0,Saturday,December,Yes,No,32.4,No,No,5.0,No,Evening,Yes,757.0,Low,Interchange,0.0,,2025-12-03,30.0
Indiranagar,Purple,22.0,Tuesday,August,No,No,25.4,Yes,Yes,8.0,No,Night,No,590.0,Low,Regular,2.0,Yes,2025-08-04,15.0
Kengeri,Purple,10.0,Thursday,December,No,No,30.0,No,No,5.0,No,Midday,No,,Medium,Terminal,0.0,Yes,2024-12-04,50.0
South End Circle,Green,21.0,Sunday,September,Yes,No,27.2,No,No,8.0,No,Night,Yes,578.0,Low,Regular,0.0,No,2024-09-25,30.0
Swami Vivekananda Road,Purple,10.0,Monday,April,No,No,29.0,No,No,5.0,No,Midday,No,1119.0,Medium,Regular,0.0,No,2023-04-13,20.0
KR Market,Green,15.0,Wednesday,April,No,No,31.0,No,,5.0,No,Evening,No,1095.0,Medium,Regular,0.0,No,2023-04-23,20.0
National College,Green,10.0,Sunday,May,Yes,No,26.7,,No,5.0,No,,Yes,771.0,Low,Regular,0.0,No,2024-05-19,25.0
Swami Vivekananda Road,Purple,9.0,Wednesday,September,No,No,30.5,Yes,No,3.0,Yes,Morning,No,2727.0,High,Regular,0.0,No,2024-09-10,20.0
National College,Green,19.0,Thursday,May,No,No,24.6,No,No,3.0,Yes,Evening,No,3915.0,High,Regular,0.0,No,2024-05-05,25.0
Vijayanagar,Purple,22.0,Friday,June,No,No,24.9,No,No,8.0,No,,No,819.0,Medium,Regular,2.0,No,2024-06-07,30.0
South End Circle,Green,16.0,Tuesday,August,No,No,26.9,No,No,5.0,No,Evening,,1184.0,Medium,Regular,5.0,No,,30.0
JP Nagar 2nd Phase,Yellow,14.0,Wednesday,March,No,No,27.0,No,No,5.0,No,Evening,No,1227.0,Medium,Regular,0.0,No,2024-03-16,20.0
Kengeri,Purple,9.0,Friday,January,No,No,,No,No,3.0,Yes,Morning,No,3690.0,High,Terminal,0.0,Yes,2023-01-01,50.0
Hosahalli,Purple,20.0,Monday,June,No,No,22.4,,No,8.0,No,Night,No,858.0,Medium,Regular,0.0,No,2023-06-12,20.0
Majestic,Purple,14.0,Wednesday,August,No,No,32.7,No,No,5.0,No,Evening,No,1582.0,Medium,Interchange,0.0,Yes,2025-08-02,25.0
Tagore Nagar,Yellow,7.0,Friday,April,No,No,26.2,No,No,3.0,Yes,Morning,No,1495.0,Medium,Regular,0.0,No,2023-04-07,20.0
,Yellow,22.0,Saturday,May,Yes,,28.0,No,No,8.0,No,Night,Yes,664.0,Low,,0.0,,2024-05-11,
Trinity,Purple,7.0,Sunday,July,Yes,No,22.6,No,No,3.0,Yes,Morning,Yes,1004.0,Medium,Regular,5.0,Yes,2023-07-13,20.0
Magadi Road,Purple,9.0,Wednesday,September,No,No,27.3,No,No,3.0,Yes,Morning,No,3825.0,High,Regular,2.0,No,2025-09-02,20.0
Bommasandra,Yellow,9.0,Saturday,March,Yes,No,25.4,No,Yes,3.0,Yes,Morning,Yes,2967.0,High,Terminal,0.0,No,2024-03-07,50.0
Majestic,Purple,7.0,Thursday,April,No,No,23.0,No,No,3.0,Yes,Morning,No,1868.0,Medium,Interchange,0.0,Yes,2023-04-15,25.0
Hosahalli,Purple,13.0,Saturday,November,Yes,No,29.9,No,No,5.0,No,Midday,Yes,1433.0,Medium,Regular,0.0,No,2024-11-25,20.0
National College,Green,16.0,Wednesday,November,No,No,27.8,No,No,5.0,No,Evening,No,1190.0,Medium,Regular,0.0,No,2025-11-11,25.0
Whitefield,Purple,10.0,Sunday,December,Yes,No,,No,Yes,5.0,No,Midday,Yes,842.0,Medium,Regular,0.0,No,2025-12-02,20.0
Nagasandra,Green,,Monday,November,No,No,24.9,No,No,,Yes,Evening,No,4443.0,High,Terminal,0.0,No,2023-11-07,10.0
Attiguppe,Purple,7.0,Sunday,April,Yes,No,24.1,No,No,3.0,Yes,Morning,Yes,1134.0,Medium,Regular,5.0,No,2025-04-04,40.0
,Purple,6.0,Wednesday,March,No,No,27.0,No,No,8.0,No,Morning,No,1603.0,Medium,,0.0,,2025-03-11,
Jalahalli,Green,11.0,Tuesday,July,No,No,27.4,Yes,No,5.0,No,Midday,No,730.0,Low,Regular,0.0,No,2025-07-02,15.0
Hosahalli,Purple,17.0,Thursday,,No,No,31.0,No,No,3.0,Yes,Evening,No,4717.0,High,Regular,0.0,No,2024-08-16,20.0
Kengeri,Purple,6.0,Thursday,November,No,No,27.3,No,No,5.0,No,Morning,No,1710.0,Medium,Terminal,0.0,Yes,2024-11-07,
Nagasandra,,20.0,Sunday,March,Yes,No,,No,No,8.0,No,Night,Yes,,Low,Terminal,0.0,No,2024-03-13,10.0
Whitefield,Purple,7.0,Thursday,December,No,,23.0,No,Yes,3.0,Yes,Morning,No,1374.0,Medium,,5.0,No,2025-12-05,20.0
Swami Vivekananda Road,Purple,22.0,Tuesday,May,No,No,31.8,,No,8.0,No,Night,No,882.0,Medium,Regular,2.0,No,2024-05-17,20.0
Mysuru Road,Purple,18.0,Friday,March,No,No,24.4,No,No,3.0,Yes,Evening,No,4547.0,High,,5.0,No,2024-03-21,40.0
Mysuru Road,Purple,8.0,Wednesday,February,No,No,,No,No,3.0,Yes,Morning,No,3367.0,High,Regular,0.0,No,2024-02-12,40.0
Hosahalli,Purple,8.0,Tuesday,September,No,No,27.8,Yes,No,3.0,Yes,Morning,No,2784.0,High,Regular,2.0,No,2025-09-19,20.0
Yelachenahalli,Green,20.0,Saturday,September,Yes,No,,No,No,8.0,No,Night,Yes,577.0,Low,Regular,0.0,No,2025-09-07,20.0
Mysuru Road,Purple,9.0,Wednesday,February,No,No,,No,No,3.0,Yes,Morning,No,4098.0,High,Regular,0.0,No,2023-02-06,40.0
JP Nagar 2nd Phase,Yellow,8.0,Saturday,March,Yes,No,27.7,No,No,3.0,Yes,Morning,Yes,2346.0,High,Regular,5.0,No,2025-03-08,20.0
JP Nagar 2nd Phase,Yellow,16.0,Wednesday,December,No,No,23.0,,No,5.0,No,Evening,No,1137.0,Medium,Regular,0.0,No,2024-12-13,20.0
National College,Green,10.0,Monday,April,,No,23.6,No,No,5.0,No,Midday,No,,Medium,Regular,0.0,No,2025-04-05,25.0
,Green,13.0,Wednesday,August,No,No,30.9,No,No,5.0,No,Midday,No,2216.0,High,Regular,0.0,No,2024-08-02,20.0
Attiguppe,Purple,19.0,Saturday,September,Yes,No,34.3,Yes,No,,Yes,Evening,Yes,,,Regular,0.0,No,2024-09-09,40.0
South End Circle,Green,,Monday,December,No,No,31.3,No,No,3.0,Yes,Evening,No,4710.0,High,Regular,0.0,No,2025-12-11,30.0
Majestic,Green,11.0,Saturday,June,Yes,No,21.9,No,No,5.0,No,Midday,Yes,1020.0,Medium,Interchange,0.0,Yes,2023-06-24,25.0
Lalbagh,,20.0,Wednesday,August,No,No,24.3,No,No,8.0,No,Night,No,901.0,Medium,Regular,0.0,Yes,2025-08-06,
Tagore Nagar,Yellow,21.0,Wednesday,September,No,No,28.9,Yes,No,8.0,No,Night,No,705.0,Low,Regular,2.0,No,2024-09-26,20.0
Jalahalli,Green,18.0,Saturday,April,Yes,No,26.2,,No,3.0,Yes,Evening,Yes,2490.0,High,Regular,5.0,No,2024-04-07,15.0
Jalahalli,Green,17.0,Tuesday,January,No,No,27.4,No,No,3.0,Yes,Evening,No,4131.0,High,Regular,0.0,No,2024-01-25,15.0
Mysuru Road,Purple,20.0,Tuesday,April,No,No,28.7,No,No,8.0,No,Night,No,869.0,Medium,Regular,0.0,No,2024-04-07,40.0
South End Circle,Green,11.0,Thursday,June,No,No,26.3,Yes,No,5.0,No,Midday,No,948.0,Medium,Regular,0.0,No,2024-06-19,30.0
Indiranagar,Purple,16.0,Tuesday,February,No,No,25.6,No,Yes,5.0,No,Evening,No,1174.0,Medium,Regular,0.0,Yes,2023-02-06,15.0
Mysuru Road,Purple,20.0,Monday,October,No,No,28.9,No,,8.0,No,Night,No,911.0,Medium,Regular,0.0,No,2023-10-11,40.0
,Yellow,8.0,Thursday,February,No,No,28.8,No,Yes,3.0,Yes,Morning,No,4261.0,High,Regular,2.0,No,2023-02-11,20.0
Baiyappanahalli,Purple,12.0,Friday,March,No,No,30.1,No,No,5.0,No,Midday,No,2057.0,High,Terminal,0.0,Yes,2025-03-07,10.0
KR Market,Green,17.0,Wednesday,January,No,No,26.9,No,No,3.0,Yes,Evening,No,4346.0,High,Regular,2.0,No,2025-01-02,20.0
Vijayanagar,Purple,6.0,Thursday,February,,No,27.0,No,No,8.0,No,Morning,No,1690.0,Medium,Regular,0.0,No,2024-02-19,30.0
Kengeri,Purple,14.0,Thursday,,No,No,22.7,,No,5.0,No,Evening,No,988.0,Medium,Terminal,0.0,Yes,2025-06-04,50.0
South End Circle,Green,17.0,Tuesday,March,No,No,23.4,No,No,3.0,Yes,Evening,No,3761.0,High,Regular,10.0,No,2024-03-26,30.0
Peenya,Green,18.0,Monday,September,No,No,25.2,No,Yes,3.0,,Evening,No,4852.0,High,Regular,5.0,No,2024-09-06,20.0
Jayanagar 4th Block,Yellow,7.0,Wednesday,May,No,No,27.8,No,No,5.0,Yes,Morning,No,1467.0,Medium,Regular,0.0,No,2025-05-17,
South End Circle,Green,13.0,Monday,July,No,No,23.5,No,No,5.0,No,Midday,No,2169.0,High,Regular,2.0,No,2025-07-25,30.0
Hosahalli,Purple,8.0,Friday,April,No,No,24.2,No,No,3.0,Yes,Morning,No,3465.0,High,Regular,2.0,No,2024-04-05,20.0
Mysuru Road,Purple,12.0,Wednesday,September,No,No,,Yes,No,5.0,No,Midday,No,1733.0,Medium,Regular,2.0,No,2025-09-07,40.0
